,actual_price
Exercise equipment: yoga mat,-0.016208409176767385
HDTV with Disney+,-0.016208409176767385
Whirlpool gas stove,-0.016208409176767403
Fast wifi \u2013 458 Mbps,-0.016208409176767403
Kayak,-0.016535512034136262
Sauve  conditioner,-0.016963425555980054
Single oven,-0.017016101300580698
Radiant heating,-0.017367156193548172
Washer \u2013\u00a0In unit,-0.01771844193519282
Private backyard,-0.019166173763716723
Paid washer \u2013 In building,-0.019956604520998216
treadmill,-0.0199834910728308
Fast wifi \u2013 96 Mbps,-0.01998349107283086
Suave  body soap,-0.020811672355522236
Samsung refrigerator,-0.022248540210468883
Arcade games,-0.02241523247604191
Piano,-0.02289799085115442
Backyard - Fully fenced,-0.022949752516215227
Viking gas stove,-0.023003556589681617
Clothing storage,-0.023083452245113285
Laundromat nearby,-0.023604195291608107
Boston Acoustics Bluetooth sound system,-0.023758572968894245
Airfryer (looks like microwave but works like oven) single oven,-0.024513589348106973
Induction stove,-0.026023622106532276
Galanz refrigerator,-0.026023622106532304
Safe,-0.026156669074657607
Suave  conditioner,-0.026830635902608903
Suave  shampoo,-0.026830635902608903
Paid dryer \u2013 In building,-0.027068595618036373
Children\u2019s books and toys for ages 0-2 years old and 2-5 years old,-0.027533654864957673
Bluetooth Speaker Bluetooth sound system,-0.027533654864957673
Bronner's Natural Peppermint soap body soap,-0.027533654864957683
Hotpoint oven,-0.02753365486495772
Hotpoint gas stove,-0.02753365486495772
City skyline view,-0.028630469957722345
Stove,-0.028767612419838204
GE single oven,-0.02904368762338306
Fast wifi \u2013 55 Mbps,-0.02904368762338306
Frigidaire stainless steel gas stove,-0.02904368762338306
Clothing storage: walk-in closet and dresser,-0.030967553118813832
Clothing storage: closet,-0.031006212226086745
Ge refrigerator,-0.03206375314023387
Fast wifi \u2013 453 Mbps,-0.03206375314023387
Shared pool,-0.03281876951944655
Window guards,-0.033365018626290835
Shared sauna,-0.03357378589865922
Conditioner conditioner,-0.03357378589865929
Bodysoap body soap,-0.03357378589865929
